./Experiments/cifar10-simclr_resnet18-clean
Use GPU: 0 for training
=> creating cnn model 'resnet18'
CIFAR-variant Resnet is loaded
Files already downloaded and verified
Files already downloaded and verified
Initializing Poison data (chosen images, examples, sources, labels) with random seed 7777
main_train.py:124: UserWarning: You have chosen a specific GPU. This will completely disable data parallelism.
  warnings.warn('You have chosen a specific GPU. This will completely '
/home/jianzhang/anaconda3/envs/ctrl/lib/python3.8/site-packages/torch/optim/lr_scheduler.py:152: UserWarning: The epoch parameter in `scheduler.step()` was not necessary and is being deprecated where possible. Please use `scheduler.step()` to step the scheduler. During the deprecation, if epoch is different from None, the closed form is used instead of the new chainable form, where available. Please open an issue if you are unable to replicate your use case: https://github.com/pytorch/pytorch/issues/new/choose.
  warnings.warn(EPOCH_DEPRECATION_WARNING, UserWarning)
[250-epoch] time:42.494 | knn acc: 79.811 | loss:37.352 | cl_loss:37.352
[251-epoch] time:42.500 | knn acc: 80.150 | loss:37.378 | cl_loss:37.378
[252-epoch] time:42.150 | knn acc: 80.119 | loss:37.369 | cl_loss:37.369
[253-epoch] time:42.417 | knn acc: 79.091 | loss:37.350 | cl_loss:37.350
[254-epoch] time:42.431 | knn acc: 79.605 | loss:37.362 | cl_loss:37.362
[255-epoch] time:42.208 | knn acc: 80.407 | loss:37.357 | cl_loss:37.357
[256-epoch] time:42.234 | knn acc: 79.831 | loss:37.361 | cl_loss:37.361
[257-epoch] time:42.409 | knn acc: 80.335 | loss:37.351 | cl_loss:37.351
[258-epoch] time:42.669 | knn acc: 79.914 | loss:37.348 | cl_loss:37.348
[259-epoch] time:42.445 | knn acc: 79.441 | loss:37.361 | cl_loss:37.361
[260-epoch] time:42.141 | knn acc: 79.328 | loss:37.349 | cl_loss:37.349
[261-epoch] time:42.607 | knn acc: 79.472 | loss:37.362 | cl_loss:37.362
[262-epoch] time:42.215 | knn acc: 78.845 | loss:37.352 | cl_loss:37.352
[263-epoch] time:42.417 | knn acc: 80.911 | loss:37.371 | cl_loss:37.371
[264-epoch] time:42.360 | knn acc: 79.893 | loss:37.351 | cl_loss:37.351
